step,action,x,y,map,direction,hp,battle,reward,visited_tiles,terminated,truncated,episode_reward
1,Action.LEFT,4,5,38,2.0,0,0,50.0,0,False,False,50.0
2,Action.LEFT,4,5,38,2.0,0,0,1.0,0,False,False,51.0
3,Action.LEFT,4,5,38,2.0,0,0,0.0,0,False,False,51.0
4,Action.B,4,5,38,2.0,0,0,-0.03,0,False,False,50.97
5,Action.B,4,5,38,2.0,0,0,-0.04,0,False,False,50.93
6,Action.B,4,5,38,2.0,0,0,-0.05,0,False,False,50.88
7,Action.LEFT,4,5,38,2.0,0,0,-0.06,0,False,False,50.82
8,Action.LEFT,4,5,38,2.0,0,0,-0.07,0,False,False,50.75
9,Action.LEFT,4,5,38,2.0,0,0,-0.08,0,False,False,50.67
10,Action.LEFT,4,5,38,2.0,0,0,-0.09,0,False,False,50.58
11,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,50.48
12,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,50.379999999999995
13,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,50.279999999999994
14,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,50.17999999999999
15,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,50.07999999999999
16,Action.LEFT,4,5,38,2.0,0,0,-0.1,0,False,False,49.97999999999999
17,Action.LEFT,4,5,38,2.0,0,0,-0.1,0,False,False,49.87999999999999
18,Action.NO_OP,4,5,38,2.0,0,0,-0.1,0,False,False,49.77999999999999
19,Action.NO_OP,4,5,38,2.0,0,0,-0.1,0,False,False,49.679999999999986
20,Action.NO_OP,4,5,38,2.0,0,0,-0.1,0,False,False,49.579999999999984
21,Action.NO_OP,4,5,38,2.0,0,0,-0.1,0,False,False,49.47999999999998
22,Action.NO_OP,4,5,38,2.0,0,0,-0.1,0,False,False,49.37999999999998
23,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,49.27999999999998
24,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,49.17999999999998
25,Action.B,4,5,38,2.0,0,0,-0.1,0,False,False,49.07999999999998
